=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: PyramidSIFT
Descriptor Extractor: SURF
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 18 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 19 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 2 (should be cristo, label 0) MAMMAMIA
1: 1 (should be cristo, label 0) MAMMAMIA
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 5 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 1 (should be cristo, label 0) MAMMAMIA
8: 1 (should be cristo, label 0) MAMMAMIA
9: 3 (should be cristo, label 0) MAMMAMIA
10: 4 (should be cristo, label 0) MAMMAMIA
11: 2 (should be muralha-da-china, label 1) MAMMAMIA
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 1 (should be muralha-da-china, label 1) OHYES
14: 4 (should be muralha-da-china, label 1) MAMMAMIA
15: 4 (should be muralha-da-china, label 1) MAMMAMIA
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 0 (should be piramide, label 3) MAMMAMIA
30: 3 (should be piramide, label 3) OHYES
31: 5 (should be piramide, label 3) MAMMAMIA
32: 1 (should be piramide, label 3) MAMMAMIA
33: 3 (should be piramide, label 3) OHYES
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 3 (should be piramide, label 3) OHYES
37: 4 (should be piramide, label 3) MAMMAMIA
38: 3 (should be piramide, label 3) OHYES
39: 2 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 2 (should be taj-mahal, label 4) MAMMAMIA
45: 2 (should be taj-mahal, label 4) MAMMAMIA
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 4 (should be torre eiffel, label 5) MAMMAMIA
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 4 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 2 (should be torre eiffel, label 5) MAMMAMIA
53: 2 (should be torre eiffel, label 5) MAMMAMIA
54: 1 (should be torre eiffel, label 5) MAMMAMIA
55: 4 (should be torre eiffel, label 5) MAMMAMIA
56: 4 (should be torre eiffel, label 5) MAMMAMIA
57: 4 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 29 (58)
BYEBYE
