=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: PyramidSTAR
Descriptor Extractor: SURF
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 7 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 7 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 1 (should be cristo, label 0) MAMMAMIA
1: 1 (should be cristo, label 0) MAMMAMIA
2: 4 (should be cristo, label 0) MAMMAMIA
3: 1 (should be cristo, label 0) MAMMAMIA
4: 1 (should be cristo, label 0) MAMMAMIA
5: 1 (should be cristo, label 0) MAMMAMIA
6: 2 (should be cristo, label 0) MAMMAMIA
7: 1 (should be cristo, label 0) MAMMAMIA
8: 1 (should be cristo, label 0) MAMMAMIA
9: 4 (should be cristo, label 0) MAMMAMIA
10: 2 (should be cristo, label 0) MAMMAMIA
11: 2 (should be muralha-da-china, label 1) MAMMAMIA
12: 1 (should be muralha-da-china, label 1) OHYES
13: 1 (should be muralha-da-china, label 1) OHYES
14: 1 (should be muralha-da-china, label 1) OHYES
15: 1 (should be muralha-da-china, label 1) OHYES
16: 2 (should be muralha-da-china, label 1) MAMMAMIA
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 4 (should be panteão, label 2) MAMMAMIA
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 1 (should be piramide, label 3) MAMMAMIA
30: 4 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 1 (should be piramide, label 3) MAMMAMIA
33: 1 (should be piramide, label 3) MAMMAMIA
34: 1 (should be piramide, label 3) MAMMAMIA
35: 3 (should be piramide, label 3) OHYES
36: 1 (should be piramide, label 3) MAMMAMIA
37: 2 (should be piramide, label 3) MAMMAMIA
38: 4 (should be piramide, label 3) MAMMAMIA
39: 1 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 2 (should be taj-mahal, label 4) MAMMAMIA
43: 1 (should be taj-mahal, label 4) MAMMAMIA
44: 4 (should be taj-mahal, label 4) OHYES
45: 1 (should be taj-mahal, label 4) MAMMAMIA
46: 1 (should be taj-mahal, label 4) MAMMAMIA
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 2 (should be torre eiffel, label 5) MAMMAMIA
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 2 (should be torre eiffel, label 5) MAMMAMIA
51: 2 (should be torre eiffel, label 5) MAMMAMIA
52: 1 (should be torre eiffel, label 5) MAMMAMIA
53: 2 (should be torre eiffel, label 5) MAMMAMIA
54: 2 (should be torre eiffel, label 5) MAMMAMIA
55: 2 (should be torre eiffel, label 5) MAMMAMIA
56: 1 (should be torre eiffel, label 5) MAMMAMIA
57: 1 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 19 (58)
BYEBYE
