=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: PyramidSURF
Descriptor Extractor: SIFT
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 693 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 698 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 1 (should be cristo, label 0) MAMMAMIA
1: 1 (should be cristo, label 0) MAMMAMIA
2: 0 (should be cristo, label 0) OHYES
3: 3 (should be cristo, label 0) MAMMAMIA
4: 1 (should be cristo, label 0) MAMMAMIA
5: 0 (should be cristo, label 0) OHYES
6: 3 (should be cristo, label 0) MAMMAMIA
7: 0 (should be cristo, label 0) OHYES
8: 1 (should be cristo, label 0) MAMMAMIA
9: 0 (should be cristo, label 0) OHYES
10: 1 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 3 (should be muralha-da-china, label 1) MAMMAMIA
13: 4 (should be muralha-da-china, label 1) MAMMAMIA
14: 0 (should be muralha-da-china, label 1) MAMMAMIA
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 1 (should be piramide, label 3) MAMMAMIA
30: 5 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 1 (should be piramide, label 3) MAMMAMIA
33: 3 (should be piramide, label 3) OHYES
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 1 (should be piramide, label 3) MAMMAMIA
37: 1 (should be piramide, label 3) MAMMAMIA
38: 1 (should be piramide, label 3) MAMMAMIA
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 4 (should be taj-mahal, label 4) OHYES
45: 4 (should be taj-mahal, label 4) OHYES
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 5 (should be torre eiffel, label 5) OHYES
49: 4 (should be torre eiffel, label 5) MAMMAMIA
50: 0 (should be torre eiffel, label 5) MAMMAMIA
51: 5 (should be torre eiffel, label 5) OHYES
52: 5 (should be torre eiffel, label 5) OHYES
53: 5 (should be torre eiffel, label 5) OHYES
54: 5 (should be torre eiffel, label 5) OHYES
55: 5 (should be torre eiffel, label 5) OHYES
56: 5 (should be torre eiffel, label 5) OHYES
57: 4 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 37 (58)
BYEBYE
