=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: PyramidSURF
Descriptor Extractor: SURF
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 83 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 86 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 4 (should be cristo, label 0) MAMMAMIA
4: 0 (should be cristo, label 0) OHYES
5: 3 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 4 (should be cristo, label 0) MAMMAMIA
8: 0 (should be cristo, label 0) OHYES
9: 3 (should be cristo, label 0) MAMMAMIA
10: 0 (should be cristo, label 0) OHYES
11: 3 (should be muralha-da-china, label 1) MAMMAMIA
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 4 (should be muralha-da-china, label 1) MAMMAMIA
14: 4 (should be muralha-da-china, label 1) MAMMAMIA
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 3 (should be muralha-da-china, label 1) MAMMAMIA
17: 3 (should be muralha-da-china, label 1) MAMMAMIA
18: 0 (should be muralha-da-china, label 1) MAMMAMIA
19: 3 (should be muralha-da-china, label 1) MAMMAMIA
20: 3 (should be muralha-da-china, label 1) MAMMAMIA
21: 4 (should be panteão, label 2) MAMMAMIA
22: 4 (should be panteão, label 2) MAMMAMIA
23: 4 (should be panteão, label 2) MAMMAMIA
24: 0 (should be panteão, label 2) MAMMAMIA
25: 4 (should be panteão, label 2) MAMMAMIA
26: 0 (should be panteão, label 2) MAMMAMIA
27: 4 (should be panteão, label 2) MAMMAMIA
28: 4 (should be panteão, label 2) MAMMAMIA
29: 3 (should be piramide, label 3) OHYES
30: 3 (should be piramide, label 3) OHYES
31: 4 (should be piramide, label 3) MAMMAMIA
32: 4 (should be piramide, label 3) MAMMAMIA
33: 0 (should be piramide, label 3) MAMMAMIA
34: 4 (should be piramide, label 3) MAMMAMIA
35: 0 (should be piramide, label 3) MAMMAMIA
36: 3 (should be piramide, label 3) OHYES
37: 4 (should be piramide, label 3) MAMMAMIA
38: 4 (should be piramide, label 3) MAMMAMIA
39: 0 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 3 (should be taj-mahal, label 4) MAMMAMIA
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 4 (should be taj-mahal, label 4) OHYES
45: 4 (should be taj-mahal, label 4) OHYES
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 3 (should be torre eiffel, label 5) MAMMAMIA
49: 4 (should be torre eiffel, label 5) MAMMAMIA
50: 4 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 3 (should be torre eiffel, label 5) MAMMAMIA
53: 0 (should be torre eiffel, label 5) MAMMAMIA
54: 4 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 4 (should be torre eiffel, label 5) MAMMAMIA
57: 3 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 17 (58)
BYEBYE
