=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: SIFT
Descriptor Extractor: SIFT
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 20 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 21 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 0 (should be cristo, label 0) OHYES
2: 3 (should be cristo, label 0) MAMMAMIA
3: 3 (should be cristo, label 0) MAMMAMIA
4: 0 (should be cristo, label 0) OHYES
5: 0 (should be cristo, label 0) OHYES
6: 3 (should be cristo, label 0) MAMMAMIA
7: 0 (should be cristo, label 0) OHYES
8: 1 (should be cristo, label 0) MAMMAMIA
9: 3 (should be cristo, label 0) MAMMAMIA
10: 0 (should be cristo, label 0) OHYES
11: 0 (should be muralha-da-china, label 1) MAMMAMIA
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 2 (should be muralha-da-china, label 1) MAMMAMIA
14: 3 (should be muralha-da-china, label 1) MAMMAMIA
15: 3 (should be muralha-da-china, label 1) MAMMAMIA
16: 0 (should be muralha-da-china, label 1) MAMMAMIA
17: 0 (should be muralha-da-china, label 1) MAMMAMIA
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 1 (should be panteão, label 2) MAMMAMIA
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 3 (should be piramide, label 3) OHYES
30: 3 (should be piramide, label 3) OHYES
31: 3 (should be piramide, label 3) OHYES
32: 2 (should be piramide, label 3) MAMMAMIA
33: 3 (should be piramide, label 3) OHYES
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 3 (should be piramide, label 3) OHYES
37: 3 (should be piramide, label 3) OHYES
38: 3 (should be piramide, label 3) OHYES
39: 2 (should be taj-mahal, label 4) MAMMAMIA
40: 0 (should be taj-mahal, label 4) MAMMAMIA
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 1 (should be taj-mahal, label 4) MAMMAMIA
43: 3 (should be taj-mahal, label 4) MAMMAMIA
44: 1 (should be taj-mahal, label 4) MAMMAMIA
45: 0 (should be taj-mahal, label 4) MAMMAMIA
46: 2 (should be taj-mahal, label 4) MAMMAMIA
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 0 (should be torre eiffel, label 5) MAMMAMIA
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 1 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 2 (should be torre eiffel, label 5) MAMMAMIA
53: 0 (should be torre eiffel, label 5) MAMMAMIA
54: 1 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 2 (should be torre eiffel, label 5) MAMMAMIA
57: 0 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 25 (58)
BYEBYE
