=== Landmark Recognition Project ===
Classifier: DTREE
Feature Detector: SURF
Descriptor Extractor: SURF
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 53 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 55 seconds.
Loading classifier...
Loading test set... Done in 1 seconds.
0: 1 (should be cristo, label 0) MAMMAMIA
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 1 (should be cristo, label 0) MAMMAMIA
5: 0 (should be cristo, label 0) OHYES
6: 0 (should be cristo, label 0) OHYES
7: 0 (should be cristo, label 0) OHYES
8: 1 (should be cristo, label 0) MAMMAMIA
9: 0 (should be cristo, label 0) OHYES
10: 1 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 0 (should be muralha-da-china, label 1) MAMMAMIA
14: 0 (should be muralha-da-china, label 1) MAMMAMIA
15: 1 (should be muralha-da-china, label 1) OHYES
16: 2 (should be muralha-da-china, label 1) MAMMAMIA
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 0 (should be muralha-da-china, label 1) MAMMAMIA
20: 1 (should be muralha-da-china, label 1) OHYES
21: 0 (should be panteão, label 2) MAMMAMIA
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 4 (should be panteão, label 2) MAMMAMIA
25: 2 (should be panteão, label 2) OHYES
26: 0 (should be panteão, label 2) MAMMAMIA
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 1 (should be piramide, label 3) MAMMAMIA
30: 1 (should be piramide, label 3) MAMMAMIA
31: 0 (should be piramide, label 3) MAMMAMIA
32: 1 (should be piramide, label 3) MAMMAMIA
33: 0 (should be piramide, label 3) MAMMAMIA
34: 0 (should be piramide, label 3) MAMMAMIA
35: 0 (should be piramide, label 3) MAMMAMIA
36: 0 (should be piramide, label 3) MAMMAMIA
37: 1 (should be piramide, label 3) MAMMAMIA
38: 1 (should be piramide, label 3) MAMMAMIA
39: 2 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 4 (should be taj-mahal, label 4) OHYES
42: 0 (should be taj-mahal, label 4) MAMMAMIA
43: 0 (should be taj-mahal, label 4) MAMMAMIA
44: 4 (should be taj-mahal, label 4) OHYES
45: 4 (should be taj-mahal, label 4) OHYES
46: 4 (should be taj-mahal, label 4) OHYES
47: 0 (should be taj-mahal, label 4) MAMMAMIA
48: 0 (should be torre eiffel, label 5) MAMMAMIA
49: 1 (should be torre eiffel, label 5) MAMMAMIA
50: 2 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 0 (should be torre eiffel, label 5) MAMMAMIA
53: 0 (should be torre eiffel, label 5) MAMMAMIA
54: 0 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 0 (should be torre eiffel, label 5) MAMMAMIA
57: 0 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 22 (58)
BYEBYE
