=== Landmark Recognition Project ===
Classifier: KNN
Feature Detector: PyramidORB
Descriptor Extractor: SIFT
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 812 seconds.
Vocabulary not found.
Generating vocabulary... Done in 912 seconds.
5/5/4
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 817 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file...No support for writing classifiers to file.
Loading test set... Done in 1 seconds.
0: 4 (should be cristo, label 0) MAMMAMIA
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 4 (should be cristo, label 0) MAMMAMIA
5: 1 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 5 (should be cristo, label 0) MAMMAMIA
8: 0 (should be cristo, label 0) OHYES
9: 4 (should be cristo, label 0) MAMMAMIA
10: 5 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 1 (should be muralha-da-china, label 1) OHYES
13: 1 (should be muralha-da-china, label 1) OHYES
14: 1 (should be muralha-da-china, label 1) OHYES
15: 1 (should be muralha-da-china, label 1) OHYES
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 3 (should be piramide, label 3) OHYES
30: 5 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 3 (should be piramide, label 3) OHYES
33: 3 (should be piramide, label 3) OHYES
34: 1 (should be piramide, label 3) MAMMAMIA
35: 1 (should be piramide, label 3) MAMMAMIA
36: 1 (should be piramide, label 3) MAMMAMIA
37: 3 (should be piramide, label 3) OHYES
38: 1 (should be piramide, label 3) MAMMAMIA
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 4 (should be taj-mahal, label 4) OHYES
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 4 (should be taj-mahal, label 4) OHYES
45: 2 (should be taj-mahal, label 4) MAMMAMIA
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 5 (should be torre eiffel, label 5) OHYES
49: 5 (should be torre eiffel, label 5) OHYES
50: 5 (should be torre eiffel, label 5) OHYES
51: 5 (should be torre eiffel, label 5) OHYES
52: 5 (should be torre eiffel, label 5) OHYES
53: 5 (should be torre eiffel, label 5) OHYES
54: 5 (should be torre eiffel, label 5) OHYES
55: 5 (should be torre eiffel, label 5) OHYES
56: 5 (should be torre eiffel, label 5) OHYES
57: 5 (should be torre eiffel, label 5) OHYES
Correctly classified: 46 (58)
BYEBYE
