=== Landmark Recognition Project ===
Classifier: KNN
Feature Detector: PyramidSIFT
Descriptor Extractor: SURF
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 18 seconds.
Vocabulary not found.
Generating vocabulary... Done in 579 seconds.
5/5/4
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 19 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file...No support for writing classifiers to file.
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 0 (should be cristo, label 0) OHYES
6: 0 (should be cristo, label 0) OHYES
7: 0 (should be cristo, label 0) OHYES
8: 5 (should be cristo, label 0) MAMMAMIA
9: 0 (should be cristo, label 0) OHYES
10: 5 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 0 (should be muralha-da-china, label 1) MAMMAMIA
14: 1 (should be muralha-da-china, label 1) OHYES
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 1 (should be muralha-da-china, label 1) OHYES
17: 0 (should be muralha-da-china, label 1) MAMMAMIA
18: 1 (should be muralha-da-china, label 1) OHYES
19: 5 (should be muralha-da-china, label 1) MAMMAMIA
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 5 (should be piramide, label 3) MAMMAMIA
30: 2 (should be piramide, label 3) MAMMAMIA
31: 0 (should be piramide, label 3) MAMMAMIA
32: 2 (should be piramide, label 3) MAMMAMIA
33: 2 (should be piramide, label 3) MAMMAMIA
34: 4 (should be piramide, label 3) MAMMAMIA
35: 0 (should be piramide, label 3) MAMMAMIA
36: 1 (should be piramide, label 3) MAMMAMIA
37: 2 (should be piramide, label 3) MAMMAMIA
38: 1 (should be piramide, label 3) MAMMAMIA
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 5 (should be taj-mahal, label 4) MAMMAMIA
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 4 (should be taj-mahal, label 4) OHYES
45: 2 (should be taj-mahal, label 4) MAMMAMIA
46: 2 (should be taj-mahal, label 4) MAMMAMIA
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 5 (should be torre eiffel, label 5) OHYES
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 5 (should be torre eiffel, label 5) OHYES
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 5 (should be torre eiffel, label 5) OHYES
53: 2 (should be torre eiffel, label 5) MAMMAMIA
54: 2 (should be torre eiffel, label 5) MAMMAMIA
55: 2 (should be torre eiffel, label 5) MAMMAMIA
56: 5 (should be torre eiffel, label 5) OHYES
57: 0 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 31 (58)
BYEBYE
