=== Landmark Recognition Project ===
Classifier: KNN
Feature Detector: PyramidSTAR
Descriptor Extractor: SURF
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 7 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 7 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file...No support for writing classifiers to file.
Loading test set... Done in 1 seconds.
0: 2 (should be cristo, label 0) MAMMAMIA
1: 1 (should be cristo, label 0) MAMMAMIA
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 2 (should be cristo, label 0) MAMMAMIA
5: 2 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 2 (should be cristo, label 0) MAMMAMIA
8: 0 (should be cristo, label 0) OHYES
9: 2 (should be cristo, label 0) MAMMAMIA
10: 0 (should be cristo, label 0) OHYES
11: 2 (should be muralha-da-china, label 1) MAMMAMIA
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 2 (should be muralha-da-china, label 1) MAMMAMIA
14: 4 (should be muralha-da-china, label 1) MAMMAMIA
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 2 (should be muralha-da-china, label 1) MAMMAMIA
17: 0 (should be muralha-da-china, label 1) MAMMAMIA
18: 2 (should be muralha-da-china, label 1) MAMMAMIA
19: 2 (should be muralha-da-china, label 1) MAMMAMIA
20: 0 (should be muralha-da-china, label 1) MAMMAMIA
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 4 (should be piramide, label 3) MAMMAMIA
30: 4 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 2 (should be piramide, label 3) MAMMAMIA
33: 2 (should be piramide, label 3) MAMMAMIA
34: 4 (should be piramide, label 3) MAMMAMIA
35: 4 (should be piramide, label 3) MAMMAMIA
36: 1 (should be piramide, label 3) MAMMAMIA
37: 2 (should be piramide, label 3) MAMMAMIA
38: 2 (should be piramide, label 3) MAMMAMIA
39: 2 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 2 (should be taj-mahal, label 4) MAMMAMIA
43: 4 (should be taj-mahal, label 4) OHYES
44: 2 (should be taj-mahal, label 4) MAMMAMIA
45: 2 (should be taj-mahal, label 4) MAMMAMIA
46: 2 (should be taj-mahal, label 4) MAMMAMIA
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 5 (should be torre eiffel, label 5) OHYES
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 2 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 5 (should be torre eiffel, label 5) OHYES
53: 2 (should be torre eiffel, label 5) MAMMAMIA
54: 0 (should be torre eiffel, label 5) MAMMAMIA
55: 5 (should be torre eiffel, label 5) OHYES
56: 5 (should be torre eiffel, label 5) OHYES
57: 0 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 20 (58)
BYEBYE
