=== Landmark Recognition Project ===
Classifier: KNN
Feature Detector: SIFT
Descriptor Extractor: SIFT
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 20 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 21 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file...No support for writing classifiers to file.
Loading test set... Done in 1 seconds.
0: 1 (should be cristo, label 0) MAMMAMIA
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 1 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 0 (should be cristo, label 0) OHYES
8: 0 (should be cristo, label 0) OHYES
9: 1 (should be cristo, label 0) MAMMAMIA
10: 1 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 4 (should be muralha-da-china, label 1) MAMMAMIA
13: 1 (should be muralha-da-china, label 1) OHYES
14: 5 (should be muralha-da-china, label 1) MAMMAMIA
15: 1 (should be muralha-da-china, label 1) OHYES
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 2 (should be muralha-da-china, label 1) MAMMAMIA
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 1 (should be piramide, label 3) MAMMAMIA
30: 4 (should be piramide, label 3) MAMMAMIA
31: 2 (should be piramide, label 3) MAMMAMIA
32: 1 (should be piramide, label 3) MAMMAMIA
33: 3 (should be piramide, label 3) OHYES
34: 0 (should be piramide, label 3) MAMMAMIA
35: 1 (should be piramide, label 3) MAMMAMIA
36: 1 (should be piramide, label 3) MAMMAMIA
37: 1 (should be piramide, label 3) MAMMAMIA
38: 1 (should be piramide, label 3) MAMMAMIA
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 4 (should be taj-mahal, label 4) OHYES
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 0 (should be taj-mahal, label 4) MAMMAMIA
45: 1 (should be taj-mahal, label 4) MAMMAMIA
46: 2 (should be taj-mahal, label 4) MAMMAMIA
47: 4 (should be taj-mahal, label 4) OHYES
48: 5 (should be torre eiffel, label 5) OHYES
49: 5 (should be torre eiffel, label 5) OHYES
50: 5 (should be torre eiffel, label 5) OHYES
51: 5 (should be torre eiffel, label 5) OHYES
52: 5 (should be torre eiffel, label 5) OHYES
53: 5 (should be torre eiffel, label 5) OHYES
54: 1 (should be torre eiffel, label 5) MAMMAMIA
55: 4 (should be torre eiffel, label 5) MAMMAMIA
56: 4 (should be torre eiffel, label 5) MAMMAMIA
57: 1 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 35 (58)
BYEBYE
