=== Landmark Recognition Project ===
Classifier: KNN
Feature Detector: SURF
Descriptor Extractor: SURF
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 53 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 56 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file...No support for writing classifiers to file.
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 1 (should be cristo, label 0) MAMMAMIA
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 1 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 4 (should be cristo, label 0) MAMMAMIA
8: 0 (should be cristo, label 0) OHYES
9: 1 (should be cristo, label 0) MAMMAMIA
10: 0 (should be cristo, label 0) OHYES
11: 1 (should be muralha-da-china, label 1) OHYES
12: 1 (should be muralha-da-china, label 1) OHYES
13: 1 (should be muralha-da-china, label 1) OHYES
14: 0 (should be muralha-da-china, label 1) MAMMAMIA
15: 1 (should be muralha-da-china, label 1) OHYES
16: 1 (should be muralha-da-china, label 1) OHYES
17: 0 (should be muralha-da-china, label 1) MAMMAMIA
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 4 (should be panteão, label 2) MAMMAMIA
28: 4 (should be panteão, label 2) MAMMAMIA
29: 1 (should be piramide, label 3) MAMMAMIA
30: 3 (should be piramide, label 3) OHYES
31: 2 (should be piramide, label 3) MAMMAMIA
32: 3 (should be piramide, label 3) OHYES
33: 5 (should be piramide, label 3) MAMMAMIA
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 3 (should be piramide, label 3) OHYES
37: 3 (should be piramide, label 3) OHYES
38: 2 (should be piramide, label 3) MAMMAMIA
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 2 (should be taj-mahal, label 4) MAMMAMIA
45: 2 (should be taj-mahal, label 4) MAMMAMIA
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 5 (should be torre eiffel, label 5) OHYES
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 5 (should be torre eiffel, label 5) OHYES
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 5 (should be torre eiffel, label 5) OHYES
53: 4 (should be torre eiffel, label 5) MAMMAMIA
54: 4 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 5 (should be torre eiffel, label 5) OHYES
57: 4 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 37 (58)
BYEBYE
