=== Landmark Recognition Project ===
Classifier: RTREES
Feature Detector: PyramidSURF
Descriptor Extractor: SIFT
Loading training set... Done in 1 seconds.
Detecting key points and extracting descriptors... Done in 714 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 698 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 0 (should be cristo, label 0) OHYES
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 0 (should be cristo, label 0) OHYES
6: 0 (should be cristo, label 0) OHYES
7: 0 (should be cristo, label 0) OHYES
8: 1 (should be cristo, label 0) MAMMAMIA
9: 0 (should be cristo, label 0) OHYES
10: 0 (should be cristo, label 0) OHYES
11: 1 (should be muralha-da-china, label 1) OHYES
12: 3 (should be muralha-da-china, label 1) MAMMAMIA
13: 0 (should be muralha-da-china, label 1) MAMMAMIA
14: 0 (should be muralha-da-china, label 1) MAMMAMIA
15: 1 (should be muralha-da-china, label 1) OHYES
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 3 (should be piramide, label 3) OHYES
30: 0 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 3 (should be piramide, label 3) OHYES
33: 3 (should be piramide, label 3) OHYES
34: 0 (should be piramide, label 3) MAMMAMIA
35: 3 (should be piramide, label 3) OHYES
36: 1 (should be piramide, label 3) MAMMAMIA
37: 3 (should be piramide, label 3) OHYES
38: 3 (should be piramide, label 3) OHYES
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 4 (should be taj-mahal, label 4) OHYES
42: 4 (should be taj-mahal, label 4) OHYES
43: 4 (should be taj-mahal, label 4) OHYES
44: 0 (should be taj-mahal, label 4) MAMMAMIA
45: 4 (should be taj-mahal, label 4) OHYES
46: 4 (should be taj-mahal, label 4) OHYES
47: 4 (should be taj-mahal, label 4) OHYES
48: 5 (should be torre eiffel, label 5) OHYES
49: 5 (should be torre eiffel, label 5) OHYES
50: 5 (should be torre eiffel, label 5) OHYES
51: 5 (should be torre eiffel, label 5) OHYES
52: 5 (should be torre eiffel, label 5) OHYES
53: 0 (should be torre eiffel, label 5) MAMMAMIA
54: 0 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 5 (should be torre eiffel, label 5) OHYES
57: 5 (should be torre eiffel, label 5) OHYES
Correctly classified: 47 (58)
BYEBYE
