=== Landmark Recognition Project ===
Classifier: RTREES
Feature Detector: SIFT
Descriptor Extractor: SIFT
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 20 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 21 seconds.
Loading classifier...
Loading test set... Done in 1 seconds.
0: 0 (should be cristo, label 0) OHYES
1: 0 (should be cristo, label 0) OHYES
2: 3 (should be cristo, label 0) MAMMAMIA
3: 0 (should be cristo, label 0) OHYES
4: 0 (should be cristo, label 0) OHYES
5: 1 (should be cristo, label 0) MAMMAMIA
6: 5 (should be cristo, label 0) MAMMAMIA
7: 0 (should be cristo, label 0) OHYES
8: 1 (should be cristo, label 0) MAMMAMIA
9: 0 (should be cristo, label 0) OHYES
10: 1 (should be cristo, label 0) MAMMAMIA
11: 1 (should be muralha-da-china, label 1) OHYES
12: 1 (should be muralha-da-china, label 1) OHYES
13: 0 (should be muralha-da-china, label 1) MAMMAMIA
14: 3 (should be muralha-da-china, label 1) MAMMAMIA
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 1 (should be muralha-da-china, label 1) OHYES
17: 1 (should be muralha-da-china, label 1) OHYES
18: 1 (should be muralha-da-china, label 1) OHYES
19: 1 (should be muralha-da-china, label 1) OHYES
20: 1 (should be muralha-da-china, label 1) OHYES
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 2 (should be panteão, label 2) OHYES
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 2 (should be panteão, label 2) OHYES
29: 3 (should be piramide, label 3) OHYES
30: 3 (should be piramide, label 3) OHYES
31: 3 (should be piramide, label 3) OHYES
32: 3 (should be piramide, label 3) OHYES
33: 3 (should be piramide, label 3) OHYES
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 0 (should be piramide, label 3) MAMMAMIA
37: 1 (should be piramide, label 3) MAMMAMIA
38: 3 (should be piramide, label 3) OHYES
39: 4 (should be taj-mahal, label 4) OHYES
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 1 (should be taj-mahal, label 4) MAMMAMIA
43: 4 (should be taj-mahal, label 4) OHYES
44: 4 (should be taj-mahal, label 4) OHYES
45: 4 (should be taj-mahal, label 4) OHYES
46: 2 (should be taj-mahal, label 4) MAMMAMIA
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 1 (should be torre eiffel, label 5) MAMMAMIA
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 1 (should be torre eiffel, label 5) MAMMAMIA
51: 5 (should be torre eiffel, label 5) OHYES
52: 1 (should be torre eiffel, label 5) MAMMAMIA
53: 5 (should be torre eiffel, label 5) OHYES
54: 5 (should be torre eiffel, label 5) OHYES
55: 5 (should be torre eiffel, label 5) OHYES
56: 0 (should be torre eiffel, label 5) MAMMAMIA
57: 1 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 38 (58)
BYEBYE
