=== Landmark Recognition Project ===
Classifier: RTREES
Feature Detector: STAR
Descriptor Extractor: SURF
Loading training set... Done in 2 seconds.
Detecting key points and extracting descriptors... Done in 6 seconds.
Loading vocabulary... Done in 0 seconds.
Setting vocabulary... Done in 0 seconds.
Extracting histograms... Done in 6 seconds.
Classifier not found.
Preparing samples and labels... Done in 0 seconds.
Training classifier... Done in 0 seconds.
Writing classifier to file... Done in 0 seconds.
Loading test set... Done in 0 seconds.
0: 1 (should be cristo, label 0) MAMMAMIA
1: 1 (should be cristo, label 0) MAMMAMIA
2: 0 (should be cristo, label 0) OHYES
3: 0 (should be cristo, label 0) OHYES
4: 1 (should be cristo, label 0) MAMMAMIA
5: 1 (should be cristo, label 0) MAMMAMIA
6: 0 (should be cristo, label 0) OHYES
7: 2 (should be cristo, label 0) MAMMAMIA
8: 5 (should be cristo, label 0) MAMMAMIA
9: 4 (should be cristo, label 0) MAMMAMIA
10: 2 (should be cristo, label 0) MAMMAMIA
11: 4 (should be muralha-da-china, label 1) MAMMAMIA
12: 0 (should be muralha-da-china, label 1) MAMMAMIA
13: 0 (should be muralha-da-china, label 1) MAMMAMIA
14: 3 (should be muralha-da-china, label 1) MAMMAMIA
15: 0 (should be muralha-da-china, label 1) MAMMAMIA
16: 4 (should be muralha-da-china, label 1) MAMMAMIA
17: 4 (should be muralha-da-china, label 1) MAMMAMIA
18: 2 (should be muralha-da-china, label 1) MAMMAMIA
19: 1 (should be muralha-da-china, label 1) OHYES
20: 5 (should be muralha-da-china, label 1) MAMMAMIA
21: 2 (should be panteão, label 2) OHYES
22: 2 (should be panteão, label 2) OHYES
23: 2 (should be panteão, label 2) OHYES
24: 4 (should be panteão, label 2) MAMMAMIA
25: 2 (should be panteão, label 2) OHYES
26: 2 (should be panteão, label 2) OHYES
27: 2 (should be panteão, label 2) OHYES
28: 4 (should be panteão, label 2) MAMMAMIA
29: 3 (should be piramide, label 3) OHYES
30: 0 (should be piramide, label 3) MAMMAMIA
31: 3 (should be piramide, label 3) OHYES
32: 3 (should be piramide, label 3) OHYES
33: 3 (should be piramide, label 3) OHYES
34: 3 (should be piramide, label 3) OHYES
35: 3 (should be piramide, label 3) OHYES
36: 0 (should be piramide, label 3) MAMMAMIA
37: 1 (should be piramide, label 3) MAMMAMIA
38: 3 (should be piramide, label 3) OHYES
39: 0 (should be taj-mahal, label 4) MAMMAMIA
40: 4 (should be taj-mahal, label 4) OHYES
41: 2 (should be taj-mahal, label 4) MAMMAMIA
42: 2 (should be taj-mahal, label 4) MAMMAMIA
43: 0 (should be taj-mahal, label 4) MAMMAMIA
44: 4 (should be taj-mahal, label 4) OHYES
45: 4 (should be taj-mahal, label 4) OHYES
46: 4 (should be taj-mahal, label 4) OHYES
47: 2 (should be taj-mahal, label 4) MAMMAMIA
48: 2 (should be torre eiffel, label 5) MAMMAMIA
49: 2 (should be torre eiffel, label 5) MAMMAMIA
50: 2 (should be torre eiffel, label 5) MAMMAMIA
51: 0 (should be torre eiffel, label 5) MAMMAMIA
52: 2 (should be torre eiffel, label 5) MAMMAMIA
53: 2 (should be torre eiffel, label 5) MAMMAMIA
54: 0 (should be torre eiffel, label 5) MAMMAMIA
55: 0 (should be torre eiffel, label 5) MAMMAMIA
56: 5 (should be torre eiffel, label 5) OHYES
57: 0 (should be torre eiffel, label 5) MAMMAMIA
Correctly classified: 22 (58)
BYEBYE
